Open,High,Low,Close,Adj Close,Volume
-1.135933824,-1.134452278,-1.135356565,-1.13303483,-1.13303483,1.18730006
-1.132214796,-1.128821531,-1.13034053,-1.13047886,-1.13047886,0.887799916
-1.128203284,-1.125572471,-1.126423506,-1.124593905,-1.124593905,0.767420235
-1.12339085,-1.120994905,-1.121618793,-1.120589352,-1.120589352,1.069929876
-1.120528472,-1.121862252,-1.120984742,-1.120930603,-1.120930603,0.561548716
-1.121942241,-1.122316556,-1.12802272,-1.127985609,-1.127985609,1.420814309
-1.128349554,-1.1254004,-1.128318587,-1.128278094,-1.128278094,0.969390554
-1.130153339,-1.127802759,-1.12802272,-1.12630715,-1.12630715,0.533794523
-1.124289276,-1.123176994,-1.122147169,-1.123688544,-1.123688544,0.819696227
-1.126866104,-1.127954185,-1.130699814,-1.133473585,-1.133473585,1.198000465
-1.134471289,-1.126109412,-1.13197496,-1.126105206,-1.126105206,0.960696479
-1.127137728,-1.121752089,-1.127959303,-1.12245583,-1.12245583,1.72176347
-1.126239303,-1.122110049,-1.127177318,-1.124990884,-1.124990884,1.33331614
-1.121963157,-1.12224083,-1.121245423,-1.121849917,-1.121849917,0.449528749
-1.123780867,-1.123369737,-1.125091987,-1.127720947,-1.127720947,1.077620812
-1.130445852,-1.127534289,-1.128043849,-1.128577569,-1.128577569,0.771098509
-1.127263083,-1.123059977,-1.125810584,-1.123625853,-1.123625853,1.080630281
-1.118480913,-1.112665802,-1.117222723,-1.111215216,-1.111215216,4.126904602
-1.107428353,-1.107331025,-1.11349592,-1.11531031,-1.11531031,2.475808329
-1.113508312,-1.111068799,-1.130777317,-1.131084773,-1.131084773,5.395795438
-1.130633869,-1.122584999,-1.128452463,-1.121536516,-1.121536516,2.165496289
-1.121628841,-1.123879123,-1.131270449,-1.130806186,-1.130806186,2.139302575
-1.129839939,-1.126777105,-1.130481421,-1.124774988,-1.124774988,2.279968439
-1.124609638,-1.12518013,-1.129248535,-1.128814353,-1.128814353,0.845667015
-1.130292619,-1.132194463,-1.136709213,-1.137262241,-1.137262241,2.73005464
-1.13390718,-1.13398421,-1.136681012,-1.135305222,-1.135305222,1.64195621
-1.139234956,-1.138961027,-1.140055574,-1.139560511,-1.139560511,0.862832266
-1.138844967,-1.140268887,-1.143246958,-1.144693311,-1.144693311,2.046119801
-1.150635758,-1.152211865,-1.150749895,-1.151574196,-1.151574196,2.145990318
-1.151729191,-1.146815152,-1.149580425,-1.146274239,-1.146274239,1.449125817
-1.14808678,-1.148439683,-1.152074342,-1.151971148,-1.151971148,1.345688488
-1.147369438,-1.145796408,-1.147044221,-1.144895282,-1.144895282,1.07360815
-1.139624973,-1.141721319,-1.144479845,-1.146524948,-1.146524948,0.697644631
-1.147808193,-1.146464101,-1.146360868,-1.144978861,-1.144978861,0.309643125
-1.141985933,-1.143490393,-1.151919365,-1.153301366,-1.153301366,1.703706516
-1.152042592,-1.153829514,-1.157632867,-1.15566929,-1.15566929,2.331352728
-1.157648955,-1.156101092,-1.157562408,-1.158462016,-1.158462016,0.915777035
-1.157941468,-1.157429625,-1.159084147,-1.159882776,-1.159882776,1.351261603
-1.158610044,-1.157808203,-1.158682576,-1.156080195,-1.156080195,2.082790994
-1.157022155,-1.151138039,-1.157160836,-1.15166471,-1.15166471,1.520684854
-1.149382157,-1.144206286,-1.147389419,-1.144226678,-1.144226678,1.051761459
-1.145050282,-1.147152468,-1.147114681,-1.147026394,-1.147026394,1.353267934
-1.145029394,-1.147262603,-1.154004696,-1.155592674,-1.155592674,0.97942221
-1.153275277,-1.153017249,-1.152532287,-1.151225955,-1.151225955,1.220850321
-1.15374191,-1.15535079,-1.158499398,-1.158733641,-1.158733641,0.500467187
-1.156924651,-1.156376444,-1.156998816,-1.155961775,-1.155961775,0.242542602
-1.15348421,-1.151289492,-1.152391368,-1.152744219,-1.152744219,0.623856337
-1.154737811,-1.156631124,-1.15859803,-1.156219475,-1.156219475,0.878659962
-1.148428031,-1.147062978,-1.148037557,-1.145243495,-1.145243495,1.545875402
-1.143650438,-1.145087396,-1.145008221,-1.144964908,-1.144964908,0.582838092
-1.144911002,-1.141363386,-1.143951469,-1.139839099,-1.139839099,0.063422139
-1.138817089,-1.133344016,-1.136526035,-1.134204853,-1.134204853,1.352376232
-1.136247224,-1.137845883,-1.140555777,-1.141127514,-1.141127514,1.14717349
-1.141470562,-1.141232578,-1.141661831,-1.141106626,-1.141106626,0.649269838
-1.137821188,-1.138596185,-1.143430136,-1.144108286,-1.144108286,0.881112145
-1.147494792,-1.148632426,-1.153152252,-1.151427926,-1.151427926,2.637986466
-1.153888152,-1.152707488,-1.15516008,-1.15192241,-1.15192241,1.312138227
-1.150385049,-1.147737553,-1.150609004,-1.147715886,-1.147715886,0.94007588
-1.147446054,-1.147710026,-1.148333453,-1.14883018,-1.14883018,0.36782662
-1.14601137,-1.146691254,-1.15071468,-1.147569616,-1.147569616,0.610257897
-1.147021225,-1.144612419,-1.145268873,-1.144762965,-1.144762965,0.463238651
-1.14064179,-1.134431633,-1.13831547,-1.136196685,-1.136196685,3.9481185
-1.124888226,-1.124478,-1.129734652,-1.123827824,-1.123827824,5.942185345
-1.130654785,-1.120753989,-1.129685322,-1.120561502,-1.120561502,2.707539172
-1.120542398,-1.121043105,-1.125394927,-1.126091253,-1.126091253,0.977304416
-1.125194636,-1.124175121,-1.124669287,-1.125798769,-1.125798769,0.769538029
-1.120542398,-1.121772762,-1.121386314,-1.122058851,-1.122058851,0.615942503
-1.117833225,-1.109292843,-1.116123685,-1.107015628,-1.107015628,2.694163658
-1.105882239,-1.104061347,-1.1076697,-1.10886818,-1.10886818,1.174927711
