,Date,Open,High,Low,Close,Adj Close,Volume,nasdaq,snp,djia,ftse100,nikkei225,sensex,russell2000,hangseng,sse,oil,gold,vix,usdx,amzn,aapl,msft
1213,2016-10-27,40.049999,40.1745,39.575001,39.767502,39.767502,54984000,5215.970215,2133.04,18169.68,6986.57,17336.419922,27915.9,1189.95,23132.349609,3112.350098,49.72,"1,267.90",15.36,98.889999,40.917999,28.620001,60.099998
1214,2016-10-28,40.4175,40.774502,39.679501,39.768501,39.768501,85398000,5190.100098,2126.41,18161.19,6996.26,17446.410156,27941.51,1187.61,22954.810547,3104.27002,48.7,"1,275.50",16.190001,98.349998,38.816002,28.43,59.869999
1215,2016-10-31,39.773499,39.842999,39.200001,39.227001,39.227001,48546000,5189.140137,2126.15,18142.42,6954.22,17425.019531,,1191.39,22934.539063,3100.491943,46.86,"1,271.50",17.059999,98.449997,39.491001,28.385,59.919998
1216,2016-11-01,39.144501,39.474499,38.777,39.1805,39.1805,48128000,5153.580078,1923.67,18037.1,6917.14,17442.400391,24825.04,1177.94,23147.070313,3122.436035,46.67,"1,286.40",18.559999,97.699997,39.2705,27.872499,59.799999
1217,2016-11-02,38.91,39.0825,38.172501,38.435001,38.435001,37448000,5105.569824,1829.08,17959.64,6845.42,17134.679688,22951.83,1162.53,22810.5,3102.73291,45.34,"1,306.80",19.32,97.400002,38.278,27.897499,59.43
1218,2016-11-03,38.362499,38.497501,37.9515,38.106499,38.106499,38864000,5058.410156,2022.19,17930.67,6790.51,,24717.99,1156.88,22683.509766,3128.936035,44.66,"1,302.10",22.08,97.160004,38.351501,27.4575,59.209999
1219,2016-11-04,37.533001,38.518002,37.528049,38.101002,38.101002,42696000,5046.370117,2041.99,17888.28,6693.26,16905.359375,25022.16,1163.44,22642.619141,3125.316895,44.07,"1,303.30",22.51,97.07,37.752499,27.209999,58.709999
1220,2016-11-07,38.724998,39.259499,38.627499,39.125999,39.125999,31702000,5166.169922,2137.16,18259.6,6806.9,17177.210938,27626.69,1192.25,22801.400391,3133.333008,44.89,"1,278.30",18.709999,97.779999,39.246498,27.602501,60.419998
1221,2016-11-08,39.169998,39.781651,39.009499,39.525501,39.525501,27338000,5193.490234,2185.79,18332.74,6843.13,17171.380859,27859.6,1195.14,22909.470703,3147.887939,44.98,"1,273.40",18.74,97.860001,39.387501,27.764999,60.470001
1222,2016-11-09,38.997002,39.561352,38.5835,39.265499,39.265499,52142000,5251.069824,,18589.69,6911.84,16251.540039,,1232.16,22415.189453,3128.370117,45.27,"1,272.60",14.38,98.5,38.594002,27.719999,60.169998
1223,2016-11-10,39.558498,39.558498,37.609001,38.127998,38.127998,94904000,5208.799805,2136.73,18807.88,6827.98,17344.419922,,1251.61,22839.109375,3171.281982,44.66,"1,265.50",14.74,98.790001,37.118999,26.9475,58.700001
1224,2016-11-11,37.827,38.039001,37.519001,37.701,37.701,48636000,5237.109863,2164.45,18847.66,6730.43,17374.789063,26818.82,1282.38,22531.089844,3196.043945,43.41,,14.17,,36.9505,27.1075,59.02
1225,2016-11-14,37.779999,37.892502,36.376999,36.804001,36.804001,73088000,5218.399902,2164.2,18868.69,6753.18,17672.619141,,1298.6,22222.220703,3210.371094,43.32,"1,221.20",14.48,100.110001,35.953499,26.4275,58.119999
1226,2016-11-15,37.348499,38.220798,37.348499,37.9245,37.9245,47680000,5275.620117,2180.39,18923.06,6792.74,17668.150391,26304.63,1302.14,22323.910156,3206.986084,45.81,"1,224.00",13.37,100.190002,37.161999,26.7775,58.869999
1227,2016-11-16,37.759998,38.318001,37.525501,38.223999,38.223999,29452000,5294.580078,2176.94,18868.14,6749.72,17862.210938,26298.69,1302.2,22280.529297,3205.056885,45.57,"1,223.40",13.72,100.410004,37.324501,27.497499,59.650002
1228,2016-11-17,38.346001,38.634998,38.211498,38.561501,38.561501,26080000,5333.970215,2187.12,18903.82,6794.71,17862.630859,26227.62,1309.48,22262.880859,3208.452881,45.42,"1,216.50",13.35,100.889999,37.82,27.487499,60.639999
1229,2016-11-18,38.568501,38.75,38.0,38.027,38.027,30942000,5321.509766,2181.9,18867.93,6775.77,17967.410156,26150.24,1315.64,22344.210938,3192.855957,45.69,"1,208.50",12.85,101.209999,38.007999,27.514999,60.349998
1230,2016-11-21,38.130501,38.485001,38.029999,38.459999,38.459999,26612000,5368.859863,2198.18,18956.69,6777.96,18106.019531,25765.14,1322.23,22357.779297,3218.147949,47.49,"1,209.60",12.42,101.050003,39.0,27.932501,60.860001
1231,2016-11-22,38.6315,38.848,38.349998,38.413502,38.413502,31862000,5386.350098,2202.94,19023.87,6819.72,18162.939453,25960.78,1334.34,22678.070313,3248.352051,48.03,"1,211.00",12.41,101.040001,39.266499,27.950001,61.119999
1232,2016-11-23,38.386501,38.41415,37.762501,38.0495,38.0495,29568000,5380.680176,2204.72,19083.18,6817.71,,26051.81,1342.09,22676.689453,3241.136963,47.96,"1,189.10",12.43,101.699997,39.006001,27.807501,60.400002
1233,2016-11-25,38.213001,38.25,38.026001,38.084,38.084,11748000,5398.919922,2213.35,19152.14,6840.75,18381.220703,26316.34,1347.2,22723.449219,3261.937988,46.06,"1,178.20",12.34,101.489998,39.018501,27.9475,60.529999
