Date, Open, High, Low, Close
09/03/21, 2303.75, 2303.75, 2286.70, 2292.05
09/02/21, 2288.03, 2309.97, 2288.03, 2304.02
09/01/21, 2274.21, 2293.05, 2264.59, 2287.06
08/31/21, 2266.28, 2277.19, 2260.43, 2273.77
08/30/21, 2278.45, 2286.36, 2264.30, 2265.99
08/27/21, 2213.79, 2281.84, 2213.79, 2277.15
08/26/21, 2239.20, 2244.44, 2212.21, 2213.98
08/25/21, 2230.73, 2252.14, 2226.64, 2239.27
08/24/21, 2208.80, 2232.00, 2208.80, 2230.91
08/23/21, 2169.11, 2211.12, 2169.11, 2208.30
08/20/21, 2131.80, 2169.65, 2127.32, 2167.60
08/19/21, 2157.04, 2157.04, 2122.24, 2132.42
08/18/21, 2177.13, 2192.16, 2157.97, 2158.78
08/17/21, 2201.64, 2201.64, 2152.49, 2177.17
08/16/21, 2222.03, 2222.03, 2192.28, 2203.41
08/13/21, 2244.20, 2244.20, 2221.31, 2223.11
08/12/21, 2250.20, 2250.63, 2232.72, 2244.07
08/11/21, 2240.11, 2250.37, 2221.68, 2250.34
08/10/21, 2236.09, 2245.03, 2230.03, 2239.36
08/09/21, 2247.43, 2247.43, 2231.48, 2234.81
08/06/21, 2237.09, 2258.32, 2235.58, 2247.76
08/05/21, 2198.16, 2236.19, 2198.16, 2236.01
08/04/21, 2220.67, 2223.11, 2195.37, 2196.32
08/03/21, 2216.25, 2223.60, 2189.76, 2223.58
08/02/21, 2228.03, 2256.44, 2212.45, 2215.49
07/30/21, 2238.91, 2251.37, 2219.95, 2226.25
07/29/21, 2193.16, 2256.97, 2190.66, 2240.03
07/28/21, 2193.16, 2237.04, 2190.66, 2224.96
07/27/21, 2215.64, 2215.64, 2171.37, 2191.83
07/26/21, 2210.11, 2232.22, 2207.54, 2216.92
07/23/21, 2201.03, 2212.31, 2186.51, 2209.65
07/22/21, 2233.78, 2233.78, 2192.98, 2199.47
07/21/21, 2195.75, 2236.94, 2195.75, 2234.04
07/20/21, 2131.79, 2206.63, 2131.79, 2194.30
07/19/21, 2159.71, 2159.71, 2107.07, 2130.68
07/16/21, 2191.87, 2210.51, 2160.53, 2163.24
07/15/21, 2201.27, 2202.75, 2166.33, 2190.29
07/14/21, 2240.25, 2254.80, 2201.23, 2202.36
07/13/21, 2280.49, 2280.49, 2238.37, 2238.86
07/12/21, 2279.63, 2283.46, 2262.26, 2281.82
07/09/21, 2234.83, 2280.01, 2234.83, 2280.01
07/08/21, 2249.94, 2252.72, 2192.98, 2231.68
07/07/21, 2274.53, 2278.10, 2235.50, 2252.85
07/06/21, 2305.96, 2306.91, 2256.97, 2274.50
07/02/21, 2328.53, 2332.95, 2302.94, 2305.76
07/01/21, 2312.57, 2332.28, 2312.57, 2329.36
06/30/21, 2307.95, 2317.30, 2295.43, 2310.55
06/29/21, 2323.07, 2332.28, 2305.92, 2308.84
06/28/21, 2335.34, 2342.19, 2307.22, 2322.34
06/25/21, 2336.86, 2350.22, 2334.40, 2334.40
06/24/21, 2305.41, 2333.66, 2305.41, 2333.62
06/23/21, 2296.40, 2314.30, 2296.40, 2303.47
06/22/21, 2285.46, 2298.36, 2266.16, 2295.95
06/21/21, 2238.62, 2289.76, 2238.62, 2286.09
06/18/21, 2284.96, 2284.96, 2229.58, 2237.74
06/17/21, 2314.20, 2316.60, 2264.12, 2287.46
06/16/21, 2319.09, 2321.91, 2296.21, 2314.69
06/15/21, 2326.76, 2327.87, 2301.78, 2320.07
06/14/21, 2337.45, 2348.64, 2320.17, 2326.14
06/11/21, 2312.60, 2335.81, 2312.60, 2335.81
06/10/21, 2327.98, 2337.76, 2305.71, 2311.41
06/09/21, 2344.82, 2350.70, 2325.56, 2327.13
06/08/21, 2319.57, 2348.35, 2316.17, 2343.76
06/07/21, 2286.93, 2321.64, 2286.93, 2319.18
06/04/21, 2281.07, 2293.68, 2277.44, 2286.41
06/03/21, 2296.57, 2296.57, 2257.00, 2279.25
06/02/21, 2295.66, 2302.22, 2285.05, 2297.83
06/01/21, 2270.38, 2298.72, 2270.38, 2294.74
05/28/21, 2273.82, 2285.07, 2264.92, 2268.97
05/27/21, 2250.73, 2277.61, 2250.73, 2273.07
05/26/21, 2207.35, 2250.61, 2207.35, 2249.27
05/25/21, 2229.24, 2247.81, 2205.73, 2205.75
05/24/21, 2223.05, 2237.13, 2218.15, 2227.34
05/21/21, 2210.21, 2236.84, 2210.21, 2215.27
05/20/21, 2194.69, 2210.92, 2184.41, 2207.76
05/19/21, 2205.77, 2205.77, 2159.14, 2193.64
05/18/21, 2227.92, 2244.43, 2210.43, 2210.88
05/17/21, 2222.86, 2227.46, 2197.10, 2227.12
05/14/21, 2171.14, 2226.39, 2171.14, 2224.63
05/13/21, 2135.23, 2185.24, 2133.97, 2170.95
05/12/21, 2205.02, 2205.02, 2132.25, 2135.14
05/11/21, 2206.48, 2215.69, 2157.14, 2206.99
05/10/21, 2271.09, 2271.24, 2212.59, 2212.70
05/07/21, 2242.10, 2271.81, 2240.41, 2271.63
05/06/21, 2240.21, 2242.03, 2205.59, 2241.42
05/05/21, 2250.13, 2260.00, 2232.86, 2241.37
05/04/21, 2275.10, 2275.10, 2225.70, 2248.29
05/03/21, 2268.62, 2288.57, 2267.78, 2277.45
04/30/21, 2292.49, 2292.49, 2259.30, 2266.45
04/29/21, 2307.07, 2322.91, 2278.42, 2295.46
04/28/21, 2301.10, 2309.82, 2291.28, 2304.16
04/27/21, 2298.83, 2309.80, 2294.41, 2301.27
04/26/21, 2275.34, 2302.38, 2275.34, 2298.01
04/23/21, 2233.72, 2281.22, 2233.72, 2271.86
04/22/21, 2240.87, 2268.53, 2227.49, 2232.61
04/21/21, 2187.49, 2240.46, 2175.43, 2239.63
04/20/21, 2231.13, 2231.13, 2171.68, 2188.21
04/19/21, 2261.11, 2261.11, 2219.05, 2232.00
04/16/21, 2258.29, 2273.15, 2251.73, 2262.67
04/15/21, 2249.42, 2264.16, 2240.75, 2257.07
04/14/21, 2230.16, 2272.85, 2230.16, 2247.72
04/13/21, 2233.99, 2237.38, 2208.20, 2228.92
04/12/21, 2244.33, 2244.33, 2222.21, 2233.78
04/09/21, 2241.97, 2245.99, 2231.03, 2243.47
04/08/21, 2225.19, 2243.00, 2213.84, 2242.60
04/07/21, 2259.15, 2259.15, 2217.78, 2223.05
04/06/21, 2264.74, 2280.37, 2257.55, 2259.15
04/05/21, 2280.80, 2280.83, 2253.94, 2264.89
04/01/21, 2225.29, 2253.90, 2225.29, 2253.90
03/31/21, 2200.03, 2237.68, 2200.03, 2220.52
03/30/21, 2158.59, 2202.63, 2151.55, 2195.80
03/29/21, 2219.31, 2223.19, 2158.44, 2158.68
03/26/21, 2190.88, 2222.19, 2177.90, 2221.48
03/25/21, 2133.15, 2190.89, 2100.28, 2183.12
03/24/21, 2192.95, 2221.97, 2134.12, 2134.27
03/23/21, 2264.14, 2264.14, 2175.78, 2185.69
