Date,Open,High,Low,Close,Adj Close,Volume
15-09-2015,"1,104.50","1,104.50","1,102.80","1,102.80","1,102.80",8
16-09-2015,"1,109.80","1,119.90","1,109.80","1,119.20","1,119.20",31
17-09-2015,"1,118.60","1,130.50","1,117.10","1,117.30","1,117.30",14
18-09-2015,"1,128.30","1,141.20","1,127.80","1,138.10","1,138.10",59
21-09-2015,"1,137.60","1,138.50","1,130.80","1,133.10","1,133.10",17
22-09-2015,"1,132.60","1,135.00","1,122.50","1,125.00","1,125.00",43
23-09-2015,"1,128.60","1,132.20","1,128.30","1,131.60","1,131.60",33
24-09-2015,"1,133.00","1,155.90","1,133.00","1,153.80","1,153.80",37
25-09-2015,"1,149.80","1,149.80","1,143.40","1,146.00","1,146.00",56
28-09-2015,"1,133.20","1,133.20","1,132.00","1,132.00","1,132.00","4,346"
29-09-2015,"1,132.20","1,134.40","1,124.30","1,127.10","1,127.10","2,417"
30-09-2015,"1,124.30","1,126.00","1,112.10","1,115.50","1,115.50",865
01-10-2015,"1,115.20","1,119.00","1,113.30","1,114.20","1,114.20","1,181"
02-10-2015,"1,112.20","1,141.20","1,105.80","1,137.10","1,137.10",323
05-10-2015,"1,137.10","1,141.70","1,132.50","1,138.10","1,138.10",226
06-10-2015,"1,136.30","1,150.00","1,136.30","1,146.80","1,146.80",145
07-10-2015,"1,147.60","1,152.90","1,143.00","1,149.00","1,149.00",104
08-10-2015,"1,142.70","1,146.70","1,138.70","1,144.70","1,144.70",138
09-10-2015,"1,151.60","1,157.20","1,151.60","1,156.30","1,156.30",22
12-10-2015,"1,155.90","1,166.80","1,155.90","1,164.90","1,164.90",40
13-10-2015,"1,163.50","1,166.20","1,154.90","1,165.80","1,165.80",132
14-10-2015,"1,172.40","1,189.00","1,167.30","1,180.10","1,180.10",143
15-10-2015,"1,184.20","1,188.30","1,177.80","1,187.90","1,187.90",143
16-10-2015,"1,182.50","1,184.10","1,176.20","1,183.60","1,183.60",243
19-10-2015,"1,176.50","1,177.80","1,169.30","1,173.30","1,173.30",62
20-10-2015,"1,168.70","1,179.10","1,168.70","1,178.00","1,178.00",19
21-10-2015,"1,175.90","1,176.40","1,164.90","1,167.60","1,167.60",41
22-10-2015,"1,166.20","1,168.60","1,163.50","1,166.60","1,166.60",48
23-10-2015,"1,166.20","1,178.70","1,163.30","1,163.30","1,163.30",38
26-10-2015,"1,165.10","1,170.00","1,163.80","1,167.00","1,167.00",176
27-10-2015,"1,164.50","1,166.80","1,162.00","1,166.80","1,166.80",302
28-10-2015,"1,175.10","1,182.70","1,175.10","1,177.10","1,177.10",217
29-10-2015,"1,158.00","1,162.00","1,144.90","1,147.20","1,147.20",329
30-10-2015,"1,147.50","1,147.60","1,139.20","1,141.50","1,141.50",249
02-11-2015,"1,137.90","1,138.70","1,132.60","1,135.80","1,135.80",180
03-11-2015,"1,133.30","1,134.70","1,114.20","1,114.20","1,114.20",185
04-11-2015,"1,119.00","1,121.90","1,106.50","1,106.50","1,106.50",141
05-11-2015,"1,107.90","1,110.70","1,104.40","1,104.40","1,104.40",84
06-11-2015,"1,105.20","1,109.50","1,084.80","1,087.60","1,087.60",78
09-11-2015,"1,088.60","1,088.60","1,087.90","1,087.90","1,087.90",5
10-11-2015,"1,090.10","1,091.30","1,085.00","1,088.20","1,088.20",18
11-11-2015,"1,091.40","1,091.40","1,084.20","1,084.70","1,084.70",15
12-11-2015,"1,086.00","1,086.60","1,080.80","1,080.80","1,080.80",4
13-11-2015,"1,083.10","1,085.90","1,080.80","1,080.80","1,080.80",23
16-11-2015,"1,092.00","1,092.40","1,083.70","1,083.70","1,083.70",11
17-11-2015,"1,075.50","1,075.80","1,065.10","1,068.70","1,068.70",6
18-11-2015,"1,064.00","1,071.90","1,064.00","1,068.80","1,068.80",5
19-11-2015,"1,077.40","1,082.40","1,077.40","1,078.00","1,078.00",10
20-11-2015,"1,082.90","1,082.90","1,076.40","1,076.40","1,076.40",5
23-11-2015,"1,070.00","1,071.50","1,066.80","1,066.80","1,066.80",57
24-11-2015,"1,073.20","1,079.40","1,073.20","1,074.30","1,074.30",222
25-11-2015,"1,070.20","1,072.00","1,068.50","1,070.50","1,070.50","1,48,662"
27-11-2015,"1,070.70","1,074.20","1,051.10","1,056.20","1,056.20","52,133"
30-11-2015,"1,056.50","1,068.40","1,052.10","1,065.80","1,065.80","4,601"
01-12-2015,"1,064.60","1,074.60","1,063.40","1,063.80","1,063.80","3,441"
02-12-2015,"1,068.70","1,069.50","1,049.60","1,054.20","1,054.20",503
03-12-2015,"1,054.40","1,064.60","1,046.20","1,061.70","1,061.70","1,161"
04-12-2015,"1,063.00","1,088.80","1,058.70","1,084.50","1,084.50",889
07-12-2015,"1,084.90","1,086.50","1,067.40","1,076.40","1,076.40",656
08-12-2015,"1,071.00","1,078.40","1,069.60","1,076.30","1,076.30",306
09-12-2015,"1,075.10","1,086.00","1,070.60","1,077.60","1,077.60",386
10-12-2015,"1,073.00","1,076.30","1,071.70","1,073.10","1,073.10",226
11-12-2015,"1,067.80","1,079.40","1,064.40","1,076.90","1,076.90",410
14-12-2015,"1,074.00","1,076.70","1,060.00","1,064.70","1,064.70",509
15-12-2015,"1,064.60","1,066.20","1,061.80","1,062.90","1,062.90",220
16-12-2015,"1,064.80","1,078.70","1,064.30","1,078.00","1,078.00",81
17-12-2015,"1,072.60","1,072.60","1,050.50","1,050.80","1,050.80",56
18-12-2015,"1,053.70","1,070.30","1,052.70","1,066.20","1,066.20",253
21-12-2015,"1,070.20","1,081.90","1,070.20","1,081.90","1,081.90",26
22-12-2015,"1,078.60","1,078.60","1,073.80","1,074.80","1,074.80",106
23-12-2015,"1,074.50","1,074.80","1,069.40","1,069.40","1,069.40",202
24-12-2015,"1,074.30","1,077.80","1,073.50","1,077.20","1,077.20",24
28-12-2015,"1,077.90","1,098.80","1,070.50","1,070.50","1,070.50",361
29-12-2015,"1,079.10","1,079.70","1,077.50","1,077.50","1,077.50",252
30-12-2015,"1,068.60","1,070.20","1,059.70","1,060.10","1,060.10",71
31-12-2015,"1,061.90","1,062.00","1,058.50","1,060.30","1,060.30",10
04-01-2016,"1,063.40","1,082.50","1,063.20","1,075.10","1,075.10",143
05-01-2016,"1,075.60","1,081.50","1,075.30","1,078.40","1,078.40",82
06-01-2016,"1,081.60","1,093.70","1,081.60","1,091.90","1,091.90",52
07-01-2016,"1,091.60","1,109.40","1,091.60","1,107.70","1,107.70",122
08-01-2016,"1,111.10","1,111.10","1,093.00","1,097.80","1,097.80",98
11-01-2016,"1,105.70","1,107.90","1,096.50","1,096.50","1,096.50",43
12-01-2016,"1,093.80","1,098.50","1,084.00","1,085.60","1,085.60",87
13-01-2016,"1,081.50","1,093.90","1,081.50","1,087.50","1,087.50",50
14-01-2016,"1,091.50","1,091.50","1,073.70","1,073.90","1,073.90",59
15-01-2016,"1,085.00","1,095.80","1,081.80","1,091.50","1,091.50",44
18-01-2016,-,-,-,-,-,-
19-01-2016,"1,089.80","1,094.40","1,084.90","1,089.90","1,089.90",17
20-01-2016,"1,099.80","1,109.80","1,099.80","1,107.10","1,107.10",30
21-01-2016,"1,103.60","1,103.60","1,094.10","1,099.10","1,099.10",16
22-01-2016,"1,098.00","1,103.20","1,097.20","1,097.20","1,097.20",4
25-01-2016,"1,099.30","1,109.30","1,099.30","1,106.20","1,106.20",8
26-01-2016,"1,115.10","1,121.70","1,114.30","1,121.70","1,121.70",181
27-01-2016,"1,117.80","1,117.80","1,115.80","1,116.10","1,116.10","1,68,706"
28-01-2016,"1,125.40","1,125.70","1,109.80","1,115.60","1,115.60","52,861"
29-01-2016,"1,114.40","1,118.60","1,108.80","1,116.40","1,116.40","6,955"
01-02-2016,"1,116.70","1,130.00","1,115.30","1,127.90","1,127.90","1,682"
02-02-2016,"1,128.30","1,131.40","1,123.00","1,127.30","1,127.30","1,230"
03-02-2016,"1,128.50","1,146.00","1,125.00","1,141.30","1,141.30","1,630"
04-02-2016,"1,142.50","1,157.60","1,141.00","1,157.60","1,157.60",771
